 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;313;1;313;1;0;0;0
"=""00:30""";0;334;1;334;1;0;0;0
"=""00:45""";0;319;1;319;1;0;0;0
"=""01:00""";0;323;1;323;1;0;0;0
"=""01:15""";0;303;1;303;1;0;0;0
"=""01:30""";0;243;1;243;1;0;0;0
"=""01:45""";0;257;1;256;2;0;0;0
"=""02:00""";0;290;1;290;1;0;0;0
"=""02:15""";0;290;1;290;1;0;0;0
"=""02:30""";0;271;1;271;1;0;0;0
"=""02:45""";0;243;1;243;1;0;0;0
"=""03:00""";0;286;1;286;1;0;0;0
"=""03:15""";0;259;1;259;1;0;0;0
"=""03:30""";0;317;1;317;1;0;0;0
"=""03:45""";0;324;1;323;1;0;0;0
"=""04:00""";0;371;1;371;1;0;0;0
"=""04:15""";0;366;1;366;1;0;0;0
"=""04:30""";0;276;1;276;1;0;0;0
"=""04:45""";0;244;1;244;1;0;0;0
"=""05:00""";0;242;1;242;1;0;0;0
"=""05:15""";0;242;1;242;1;0;0;0
"=""05:30""";0;249;1;249;1;0;0;0
"=""05:45""";0;245;1;244;2;0;0;0
"=""06:00""";0;289;1;290;1;0;0;0
"=""06:15""";0;289;1;288;1;0;0;0
"=""06:30""";0;333;1;333;1;0;0;0
"=""06:45""";0;313;1;313;1;0;0;0
"=""07:00""";0;320;1;320;1;0;0;0
"=""07:15""";0;322;1;322;1;0;0;0
"=""07:30""";0;250;1;250;1;0;0;0
"=""07:45""";0;285;1;285;1;0;0;0
"=""08:00""";3;278;1;283;1;3;0;4
"=""08:15""";51;228;1;280;1;51;0;52
"=""08:30""";134;124;1;258;1;134;0;135
"=""08:45""";225;0;1;227;1;225;80;306
"=""09:00""";222;0;1;223;1;222;163;386
"=""09:15""";221;0;1;222;1;221;129;351
"=""09:30""";273;0;1;274;1;273;196;471
"=""09:45""";333;0;1;334;1;333;213;547
"=""10:00""";378;0;2;380;2;378;206;586
"=""10:15""";372;0;1;373;2;372;384;758
"=""10:30""";315;0;2;317;2;315;637;954
"=""10:45""";227;0;3;229;3;227;955;"1,185"
"=""11:00""";229;0;3;233;3;229;"1,128";"1,361"
"=""11:15""";234;0;4;238;4;234;"1,400";"1,638"
"=""11:30""";239;0;3;243;4;239;"1,460";"1,703"
"=""11:45""";239;0;5;244;5;239;"1,774";"2,018"
"=""12:00""";280;0;5;285;5;280;"1,803";"2,088"
"=""12:15""";285;0;5;290;5;285;"1,763";"2,053"
"=""12:30""";320;0;6;326;7;320;"2,619";"2,946"
"=""12:45""";382;0;6;388;7;382;"3,085";"3,474"
"=""13:00""";381;0;2;383;"2,356";381;612;"3,349"
"=""13:15""";348;0;0;348;"2,461";348;0;"2,809"
"=""13:30""";347;0;0;347;"2,602";347;0;"2,949"
"=""13:45""";124;0;0;124;"3,272";124;0;"3,396"
"=""14:00""";313;0;0;313;"2,610";313;0;"2,923"
"=""14:15""";320;0;0;320;"2,617";320;0;"2,937"
"=""14:30""";317;0;0;317;"2,536";317;0;"2,853"
"=""14:45""";261;0;0;261;"1,680";261;0;"1,941"
"=""15:00""";239;0;0;239;"1,010";239;0;"1,249"
"=""15:15""";256;0;0;256;"1,729";256;0;"1,985"
"=""15:30""";262;0;0;262;"1,586";262;0;"1,848"
"=""15:45""";327;0;0;327;"2,293";327;0;"2,620"
"=""16:00""";676;0;0;676;"1,404";676;0;"2,080"
"=""16:15""";360;0;0;360;"1,064";360;0;"1,424"
"=""16:30""";359;0;0;359;933;359;0;"1,292"
"=""16:45""";318;0;0;318;458;318;0;776
"=""17:00""";276;0;0;276;"2,352";276;0;"2,628"
"=""17:15""";252;0;0;252;"1,573";252;0;"1,825"
"=""17:30""";228;0;7;235;502;228;406;"1,136"
"=""17:45""";236;0;1;237;263;236;251;750
"=""18:00""";263;0;0;264;395;263;0;658
"=""18:15""";282;0;0;282;366;282;0;648
"=""18:30""";274;0;0;274;81;274;0;355
"=""18:45""";246;0;0;246;76;246;0;322
"=""19:00""";280;0;0;280;145;280;0;425
"=""19:15""";130;163;4;297;4;130;0;134
"=""19:30""";169;138;1;308;1;169;0;170
"=""19:45""";226;76;1;303;1;226;0;227
"=""20:00""";67;253;1;321;1;67;0;68
"=""20:15""";36;229;1;266;1;36;0;37
"=""20:30""";0;281;1;282;1;0;0;1
"=""20:45""";0;254;1;254;1;0;0;0
"=""21:00""";0;237;1;237;1;0;0;0
"=""21:15""";0;239;1;239;1;0;0;0
"=""21:30""";0;246;1;246;1;0;0;0
"=""21:45""";0;241;1;241;1;0;0;0
"=""22:00""";0;266;1;266;1;0;0;0
"=""22:15""";0;352;1;351;1;0;0;0
"=""22:30""";0;353;1;353;1;0;0;0
"=""22:45""";0;330;1;330;1;0;0;0
"=""23:00""";0;317;1;317;1;0;0;0
"=""23:15""";0;301;1;301;1;0;0;0
"=""23:30""";0;253;1;253;1;0;0;0
"=""23:45""";0;241;1;241;1;0;0;0
"=""00:00""";0;262;1;263;1;0;0;0
